Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
287;Aaron Nesmith;SF;23;IND;6;4;21.8;3.2;7.2;0.442;1.2;3.7;0.318;2;3.5;0.571;0.523;1.2;1.5;0.778;0.5;3;3.5;1.5;0.2;0.8;1;3;8.7
288;Raul Neto;PG;30;CLE;5;0;10.2;1.2;2.8;0.429;0.2;1;0.2;1;1.8;0.556;0.464;0.8;0.8;1;0.2;1;1.2;1;0.4;0;0.4;0.6;3.4
289;Georges Niang;PF;29;PHI;6;0;15.2;1.8;4;0.458;1.3;3.3;0.4;0.5;0.7;0.75;0.625;0.3;0.3;1;0;1.3;1.3;0.5;0.2;0.2;0.7;1.3;5.3
290;Daishen Nix;PG;20;HOU;4;0;15.3;1.5;3.3;0.462;0.8;2;0.375;0.8;1.3;0.6;0.577;0.8;1;0.75;0.3;0.3;0.5;2;0.3;0.3;1.3;0.8;4.5
291;Zeke Nnaji;PF;22;DEN;5;0;4;0.8;1.4;0.571;0;0.4;0;0.8;1;0.8;0.571;0;0;0;0;0;0;0;0.2;0;0.2;1.6;1.6
292;Jaylen Nowell;SG;23;MIN;6;0;21.5;6;13.7;0.439;1.5;5.2;0.29;4.5;8.5;0.529;0.494;1;1.3;0.75;1.3;3.5;4.8;2.5;0.8;0.2;0.2;1.5;14.5
293;Kendrick Nunn;PG;27;LAL;5;0;15;2.6;8;0.325;1;4.2;0.238;1.6;3.8;0.421;0.388;0;0.2;0;0;2.2;2.2;1.2;0.2;0.2;2;1.4;6.2
294;Jusuf Nurki?;C;28;POR;6;6;30.7;4.8;10;0.483;0.2;0.7;0.25;4.7;9.3;0.5;0.492;3.7;4.3;0.846;3;9.2;12.2;2.5;0.8;1.2;2.3;3;13.5
295;Jordan Nwora;SF;24;MIL;4;0;15.5;1.8;4.8;0.368;1;2;0.5;0.8;2.8;0.273;0.474;0;0;0;0.8;3.3;4;0.3;0;0;1;1.3;4.5
296;Royce O'Neale;SF;29;BRK;5;5;37.4;3.4;10;0.34;2.2;6.2;0.355;1.2;3.8;0.316;0.45;0.4;0.4;1;0.6;3.6;4.2;2.4;1.8;1.2;1.2;3.6;9.4
297;Chuma Okeke;PF;24;ORL;6;0;15.8;1.2;3.5;0.333;0.8;2.7;0.313;0.3;0.8;0.4;0.452;0.7;0.7;1;0.8;2;2.8;1.3;0.2;0;0.2;1.8;3.8
298;Josh Okogie;SG;24;PHO;5;0;4.4;0.4;1;0.4;0;0.4;0;0.4;0.6;0.667;0.4;0.4;0.4;1;0.6;1;1.6;0;0.2;0;0;0.6;1.2
299;Onyeka Okongwu;C;22;ATL;5;0;20.8;4.6;6.2;0.742;0;0;0;4.6;6.2;0.742;0.742;1.2;2.2;0.545;2.2;3.2;5.4;0.6;0.6;0.8;0.6;3.2;10.4
300;Isaac Okoro;SG;22;CLE;5;2;15.2;0.8;3;0.267;0;1.6;0;0.8;1.4;0.571;0.267;0;0;0;0.2;0.6;0.8;0;0.2;0;1;2.2;1.6
301;KZ Okpala;PF;23;SAC;4;3;9.5;0.3;1.3;0.2;0.3;1;0.25;0;0.3;0;0.3;0;0;0;0.5;1;1.5;0.5;0;0;0;1;0.8
302;Kelly Olynyk;PF;31;UTA;6;6;27.2;4.3;8.3;0.52;2;3.2;0.632;2.3;5.2;0.452;0.64;1.5;2.5;0.6;1.5;2.8;4.3;3.7;1.2;0.3;3;4.5;12.2
303;Eugene Omoruyi;SF;25;OKC;3;0;10;2.3;4.3;0.538;0.3;1.3;0.25;2;3;0.667;0.577;1.3;1.7;0.8;1.3;1;2.3;0.3;0;0;0.3;3;6.3
304;Cedi Osman;SF;27;CLE;5;0;27.8;4.6;9.6;0.479;2;4.8;0.417;2.6;4.8;0.542;0.583;2;2.6;0.769;0.6;2.2;2.8;2.4;0.2;0.2;0.8;3.4;13.2
305;Kelly Oubre Jr.;SF;27;CHO;5;5;28.4;6.2;15.4;0.403;1.8;6.2;0.29;4.4;9.2;0.478;0.461;2;3;0.667;1.2;4.2;5.4;0.6;1.8;0.2;1.2;3.6;16.2
306;Chris Paul;PG;37;PHO;5;5;33;3;9;0.333;1;3.4;0.294;2;5.6;0.357;0.389;2.2;2.4;0.917;0.8;4.6;5.4;10;2;0.2;2.2;3;9.2
